OBJECTID,GRIZZLY_BEAR_POP_UNIT_ID,GRIZZLY_BEAR_POPULATION_TAG,POPULATION_NAME,DISPLAY_NAME,STATUS,WITHIN_BC_IND,REGION_RESPONSIBLE_NAME,GAME_MANAGEMENT_ZONE_NAME,National_Park,Closed_to_Hunting_2012,Closed_to_Hunting_2015,AREA_KM2,AREA_KM2_noWaterIce,EST_POP_2015,EST_POP_2018,EST_POP_DENSITY_2015,EST_POP_DENSITY_2018
175,808,14,Columbia-Shuswap,Columbia-\Shuswap,Viable,Y,Thompson,North Thompson,,N,N,1191.492002,1002.84276,42,42,41.8809433,41.8809433
176,808,14,Columbia-Shuswap,Columbia-\Shuswap,Viable,Y,Thompson,North Thompson,,N,N,1527.469999,1460.586919,35,35,23.96296883,23.96296883
177,808,14,Columbia-Shuswap,Columbia-\Shuswap,Viable,Y,Thompson,North Thompson,,N,N,2866.476888,2656.515815,62,62,23.33884048,23.33884048
178,808,14,Columbia-Shuswap,Columbia-\Shuswap,Viable,Y,Thompson,North Thompson,,N,N,848.0784555,833.986,30,30,35.97182846,35.97182846
179,809,17,Central Rockies,Central \Rockies,Viable,Y,Kootenay,Golden,,N,N,2801.708992,2189.549792,77,77,35.16704559,35.16704559
180,809,17,Central Rockies,Central \Rockies,Viable,Y,Kootenay,Golden,Yoho National Park,Y,Y,766.1351657,688.2322826,16,16,23.24796486,23.24796486
181,812,18,North Selkirk,North \Selkirk,Viable,Y,Kootenay,Golden,Glacier National Park,Y,Y,508.9263355,470.569387,25,25,53.1271286,53.1271286
182,814,23,Rockies Park Ranges,Rockies \Park \Ranges,Viable,Y,Kootenay,Golden,,N,N,1358.198304,1340.459942,24,24,17.9043026,17.9043026
183,814,23,Rockies Park Ranges,Rockies \Park \Ranges,Viable,Y,Kootenay,Fernie,,N,N,2541.32395,2501.552576,56,56,22.38609695,22.38609695
184,816,26,North Purcells,North \Purcells,Viable,Y,Kootenay,Golden,Glacier National Park,Y,Y,470.0125899,402.8405751,10,10,24.82371521,24.82371521
185,816,26,North Purcells,North \Purcells,Viable,Y,Kootenay,Revelstoke,,N,N,1594.17081,1264.368842,54,54,42.70905685,42.70905685
186,816,26,North Purcells,North \Purcells,Viable,Y,Kootenay,Revelstoke,,N,N,845.3553851,711.1630519,37,37,52.02745056,52.02745056
187,816,26,North Purcells,North \Purcells,Viable,Y,Kootenay,Revelstoke,,N,N,811.7863483,777.5205111,38,38,48.87331009,48.87331009
188,818,38,Central Monashee,Central \Monashee,Viable,Y,Thompson,North Thompson,,Y,Y,493.7820329,490.1279162,11,11,22.44312096,22.44312096
189,818,38,Central Monashee,Central \Monashee,Viable,Y,Kootenay,Revelstoke,,N,N,786.9083175,756.7030019,21,21,27.7519722,27.7519722
190,818,38,Central Monashee,Central \Monashee,Viable,Y,Okanagan,Monashee,,N,N,1211.995821,1210.303216,26,26,21.4822197,21.4822197
191,818,38,Central Monashee,Central \Monashee,Viable,Y,Okanagan,Monashee,,N,N,975.4104061,943.9307414,19,19,20.12859535,20.12859535
192,818,38,Central Monashee,Central \Monashee,Viable,Y,Okanagan,Monashee,,Y,Y,174.8624801,174.8142693,3,3,17.16106987,17.16106987
193,818,38,Central Monashee,Central \Monashee,Viable,Y,Okanagan,Kettle,,Y,Y,111.2596088,110.3813748,2,2,18.11899948,18.11899948
194,818,38,Central Monashee,Central \Monashee,Viable,Y,Okanagan,Okanagan,,Y,Y,149.1111986,149.1111986,3,3,20.1192131,20.1192131
195,821,29,South Rockies,South \Rockies,Viable,Y,Kootenay,Fernie,,Y,Y,1848.213193,1834.424682,68,38,37.06884384,20.71494102
196,821,29,South Rockies,South \Rockies,Viable,Y,Kootenay,Fernie,,Y,Y,2413.490505,2299.051787,87,49,37.84168625,21.31313515
197,821,29,South Rockies,South \Rockies,Viable,Y,Kootenay,Fernie,,Y,Y,1322.259417,1296.860921,49,28,37.78354263,21.59059525
198,822,74,Central Selkirk,Central \Selkirk,Viable,Y,Kootenay,Revelstoke,,N,N,1252.243882,1250.714813,46,46,36.77896881,36.77896881
199,822,74,Central Selkirk,Central \Selkirk,Viable,Y,Kootenay,Revelstoke,,N,N,1322.429922,1211.390245,51,51,42.10038757,42.10038757
200,822,74,Central Selkirk,Central \Selkirk,Viable,Y,Kootenay,Nelson,,Y,Y,281.543724,280.2574019,5,5,17.84074211,17.84074211
201,822,74,Central Selkirk,Central \Selkirk,Viable,Y,Kootenay,Nelson,,Y,Y,489.9795833,489.8833975,8,8,16.33041573,16.33041573
202,826,41,Valhalla,Valhalla,Viable,Y,Kootenay,Nelson,,Y,Y,781.0391663,779.2923582,10,10,12.83215427,12.83215427
203,826,41,Valhalla,Valhalla,Viable,Y,Kootenay,Nelson,,N,N,153.5124757,140.5003294,10,10,71.17420959,71.17420959
204,827,42,Kettle-Granby,Kettle-\Granby,Threatened,Y,Kootenay,Nelson,,Y,Y,887.0185839,886.9066758,12,12,13.53017235,13.53017235
205,827,42,Kettle-Granby,Kettle-\Granby,Threatened,Y,Kootenay,Nelson,,Y,Y,1205.353197,1197.161931,12,12,10.02370644,10.02370644
206,827,42,Kettle-Granby,Kettle-\Granby,Threatened,Y,Okanagan,Monashee,,Y,Y,326.6142516,325.6931689,5,5,15.35187244,15.35187244
207,827,42,Kettle-Granby,Kettle-\Granby,Threatened,Y,Okanagan,Kettle,,Y,Y,455.816899,455.3486234,6,6,13.1767168,13.1767168
208,827,42,Kettle-Granby,Kettle-\Granby,Threatened,Y,Okanagan,Kettle,,Y,Y,2338.220414,2314.006568,32,33,13.82882881,14.26097965
209,827,42,Kettle-Granby,Kettle-\Granby,Threatened,Y,Okanagan,Okanagan,,Y,Y,72.67176137,71.20832521,1,1,14.04330158,14.04330158
210,830,35,Flathead,Flathead,Viable,Y,Kootenay,Fernie,,N,N,694.4679452,694.3073849,33,26,47.5293808,37.44739151
211,830,35,Flathead,Flathead,Viable,Y,Kootenay,Fernie,,N,N,1558.245182,1557.096211,80,63,51.37768555,40.45992661
212,830,35,Flathead,Flathead,Viable,Y,Kootenay,Fernie,,N,N,1236.847962,1227.016448,65,51,52.97402573,41.56423569
213,832,45,Yahk,Yahk,Threatened,Y,Kootenay,Cranbrook,,Y,Y,1628.004693,1601.597836,10,10,6.243764877,6.243764877
214,832,45,Yahk,Yahk,Threatened,Y,Kootenay,Cranbrook,,Y,Y,1105.608827,1103.79357,10,10,9.059664726,9.059664726
215,833,46,South Selkirk,South \Selkirk,Threatened,Y,Kootenay,Nelson,,Y,Y,1899.901913,1893.239084,29,29,15.31766415,15.31766415
216,833,46,South Selkirk,South \Selkirk,Threatened,Y,Kootenay,Nelson,,Y,Y,2168.584085,2157.049162,29,29,13.44429302,13.44429302
217,838,85,Central-South Purcells,Central-South Purcells,Viable,Y,Kootenay,Cranbrook,,N,N,3185.648253,2943.39585,58,58,19.70513153,19.70513153
218,838,85,Central-South Purcells,Central-South Purcells,Viable,Y,Kootenay,Cranbrook,,Y,Y,3826.904662,3804.409363,52,52,13.66835022,13.66835022
